Movie_id, Gross Revenue, Budget, Language, Genre, Country
[2530359, 134943247, 54000000, 2, 3, 1]
[2530359, 134246073, 54000000, 2, 3, 1]
[2530359, 133600442, 54000000, 2, 3, 1]
[2530359, 133397071, 54000000, 2, 3, 1]
[2530359, 133299485, 54000000, 2, 3, 1]
[2530359, 133198115, 54000000, 2, 3, 1]
[2530359, 133013171, 54000000, 2, 3, 1]
[2530359, 132686684, 54000000, 2, 3, 1]
[2530359, 132193980, 54000000, 2, 3, 1]
[2530359, 131279096, 54000000, 2, 3, 1]
[2530359, 125984141, 54000000, 2, 3, 1]
[2530359, 121788625, 54000000, 2, 3, 1]
[2530359, 104111652, 54000000, 2, 3, 1]
[2530359, 84779528, 54000000, 2, 3, 1]
[2530359, 75575864, 54000000, 2, 3, 1]
[2530359, 63690609, 54000000, 2, 3, 1]
[2530359, 45073479, 54000000, 2, 3, 1]
[2530359, 136189294, 54000000, 2, 3, 1]
[2530359, 320689294, 54000000, 2, 3, 1]
[2530359, 184500000, 54000000, 2, 3, 1]
[2530432, 66941559, 85000000, 1, 3, 2]
[2530432, 66903659, 85000000, 1, 3, 2]
[2530432, 66822618, 85000000, 1, 3, 2]
[2530432, 66662731, 85000000, 1, 3, 2]
[2530432, 66450519, 85000000, 1, 3, 2]
[2530432, 66109921, 85000000, 1, 3, 2]
[2530432, 65777561, 85000000, 1, 3, 2]
[2530432, 65406212, 85000000, 1, 3, 2]
[2530432, 64954661, 85000000, 1, 3, 2]
[2530432, 64371175, 85000000, 1, 3, 2]
[2530432, 64087871, 85000000, 1, 3, 2]
[2530432, 63698122, 85000000, 1, 3, 2]
[2530432, 63243044, 85000000, 1, 3, 2]
[2530432, 62608326, 85000000, 1, 3, 2]
[2530432, 61175547, 85000000, 1, 3, 2]
[2530432, 58335959, 85000000, 1, 3, 2]
[2530432, 51717906, 85000000, 1, 3, 2]
[2530432, 47995472, 85000000, 1, 3, 2]
[2530432, 44279675, 85000000, 1, 3, 2]
[2530432, 36603358, 85000000, 1, 3, 2]
[2530432, 26236096, 85000000, 1, 3, 2]
[2530432, 66957026, 85000000, 1, 3, 2]
[2530432, 183611771, 85000000, 1, 3, 2]
[2530432, 116654745, 85000000, 1, 3, 2]
[2530562, 53481, 8000000, 2, 3, 1]
[2530562, 49783, 8000000, 2, 3, 1]
[2530562, 37650, 8000000, 2, 3, 1]
[2530562, 20774, 8000000, 2, 3, 1]
[2530853, 125024, 4000000, 2, 4, 1]
[2530853, 122439, 4000000, 2, 4, 1]
[2530853, 119587, 4000000, 2, 4, 1]
[2530853, 116066, 4000000, 2, 4, 1]
[2530853, 110978, 4000000, 2, 4, 1]
[2530853, 106941, 4000000, 2, 4, 1]
[2530853, 98676, 4000000, 2, 4, 1]
[2530853, 91060, 4000000, 2, 4, 1]
[2530853, 81183, 4000000, 2, 4, 1]
[2530853, 64165, 4000000, 2, 4, 1]
[2530853, 51252, 4000000, 2, 4, 1]
